Fecha,Area_Sanitaria,Pacientes_Sin_Alta,Pacientes_Con_Alta,Exitus
2020-03-14,"A.S. OURENSE, VERÍN E O BARCO",13,0,0
2020-03-14,A.S. PONTEVEDRA E O SALNÉS,16,0,0
2020-03-14,A.S. SANTIAGO E BARBANZA,20,0,0
2020-03-14,A.S. VIGO,37,0,1
2020-03-14,GALICIA,158,0,1
2020-03-15,A.S. A CORUÑA E CEE,78,0,0
2020-03-15,A.S. FERROL,2,0,0
2020-03-15,"A.S. LUGO, A MARIÑA E MONFORTE",13,0,0
2020-03-15,"A.S. OURENSE, VERÍN E O BARCO",23,0,0
2020-03-15,A.S. PONTEVEDRA E O SALNÉS,24,0,1
2020-03-15,A.S. SANTIAGO E BARBANZA,32,0,0
2020-03-15,A.S. VIGO,45,0,1
2020-03-15,GALICIA,217,0,2
2020-03-16,A.S. A CORUÑA E CEE,100,0,1
2020-03-16,A.S. FERROL,5,0,0
2020-03-16,"A.S. LUGO, A MARIÑA E MONFORTE",27,0,0
2020-03-16,"A.S. OURENSE, VERÍN E O BARCO",27,0,0
2020-03-16,A.S. PONTEVEDRA E O SALNÉS,33,0,1
2020-03-16,A.S. SANTIAGO E BARBANZA,46,0,0
2020-03-16,A.S. VIGO,52,0,1
2020-03-16,GALICIA,290,0,3
2020-03-17,A.S. A CORUÑA E CEE,136,0,2
2020-03-17,A.S. FERROL,10,0,0
2020-03-17,"A.S. LUGO, A MARIÑA E MONFORTE",34,0,0
2020-03-17,"A.S. OURENSE, VERÍN E O BARCO",38,0,0
2020-03-17,A.S. PONTEVEDRA E O SALNÉS,46,0,1
2020-03-17,A.S. SANTIAGO E BARBANZA,58,0,0
2020-03-17,A.S. VIGO,73,0,2
2020-03-17,GALICIA,395,0,5
2020-03-18,A.S. A CORUÑA E CEE,158,1,2
2020-03-18,A.S. FERROL,20,0,0
2020-03-18,"A.S. LUGO, A MARIÑA E MONFORTE",46,0,0
2020-03-18,"A.S. OURENSE, VERÍN E O BARCO",50,0,0
2020-03-18,A.S. PONTEVEDRA E O SALNÉS,71,1,1
2020-03-18,A.S. SANTIAGO E BARBANZA,86,0,0
2020-03-18,A.S. VIGO,114,0,2
2020-03-18,GALICIA,545,2,5
2020-03-19,A.S. A CORUÑA E CEE,188,1,3
2020-03-19,A.S. FERROL,24,0,0
2020-03-19,"A.S. LUGO, A MARIÑA E MONFORTE",52,0,0
2020-03-19,"A.S. OURENSE, VERÍN E O BARCO",63,0,0
2020-03-19,A.S. PONTEVEDRA E O SALNÉS,97,1,1
2020-03-19,A.S. SANTIAGO E BARBANZA,101,0,0
2020-03-19,A.S. VIGO,147,1,2
2020-03-19,GALICIA,672,3,6
2020-03-20,A.S. A CORUÑA E CEE,239,1,6
2020-03-20,A.S. FERROL,33,0,0
2020-03-20,"A.S. LUGO, A MARIÑA E MONFORTE",58,0,1
2020-03-20,"A.S. OURENSE, VERÍN E O BARCO",87,0,1
2020-03-20,A.S. PONTEVEDRA E O SALNÉS,122,2,1
2020-03-20,A.S. SANTIAGO E BARBANZA,120,0,0
2020-03-20,A.S. VIGO,184,2,2
2020-03-20,GALICIA,843,5,11
2020-03-21,A.S. A CORUÑA E CEE,276,1,10
2020-03-21,A.S. FERROL,40,0,0
2020-03-21,"A.S. LUGO, A MARIÑA E MONFORTE",61,0,1
2020-03-21,"A.S. OURENSE, VERÍN E O BARCO",123,0,1
2020-03-21,A.S. PONTEVEDRA E O SALNÉS,155,2,1
2020-03-21,A.S. SANTIAGO E BARBANZA,183,0,0
2020-03-21,A.S. VIGO,244,2,3
2020-03-21,GALICIA,1082,5,16
2020-03-22,A.S. A CORUÑA E CEE,340,1,10
2020-03-22,A.S. FERROL,45,0,1
2020-03-22,"A.S. LUGO, A MARIÑA E MONFORTE",64,0,1
2020-03-22,"A.S. OURENSE, VERÍN E O BARCO",144,0,2
2020-03-22,A.S. PONTEVEDRA E O SALNÉS,165,3,2
2020-03-22,A.S. SANTIAGO E BARBANZA,201,0,1
2020-03-22,A.S. VIGO,285,2,3
2020-03-22,GALICIA,1244,6,20
2020-03-23,A.S. A CORUÑA E CEE,393,2,11
2020-03-23,A.S. FERROL,47,0,2
2020-03-23,"A.S. LUGO, A MARIÑA E MONFORTE",104,0,2
2020-03-23,"A.S. OURENSE, VERÍN E O BARCO",181,0,2
2020-03-23,A.S. PONTEVEDRA E O SALNÉS,181,3,3
2020-03-23,A.S. SANTIAGO E BARBANZA,257,0,2
2020-03-23,A.S. VIGO,325,2,3
2020-03-23,GALICIA,1488,7,25
2020-03-24,A.S. A CORUÑA E CEE,451,3,14
2020-03-24,A.S. FERROL,53,0,3
2020-03-24,"A.S. LUGO, A MARIÑA E MONFORTE",124,0,4
2020-03-24,"A.S. OURENSE, VERÍN E O BARCO",210,0,3
2020-03-24,A.S. PONTEVEDRA E O SALNÉS,208,5,3
2020-03-24,A.S. SANTIAGO E BARBANZA,292,0,2
2020-03-24,A.S. VIGO,403,2,3
2020-03-24,GALICIA,1741,10,32
2020-03-25,A.S. A CORUÑA E CEE,543,4,18
2020-03-25,A.S. FERROL,61,0,4
2020-03-25,"A.S. LUGO, A MARIÑA E MONFORTE",152,1,4
2020-03-25,"A.S. OURENSE, VERÍN E O BARCO",275,0,4
2020-03-25,A.S. PONTEVEDRA E O SALNÉS,238,6,4
2020-03-25,A.S. SANTIAGO E BARBANZA,326,0,2
2020-03-25,A.S. VIGO,461,3,3
2020-03-25,GALICIA,2056,14,39
2020-03-26,A.S. A CORUÑA E CEE,632,13,20
2020-03-26,A.S. FERROL,71,0,5
2020-03-26,"A.S. LUGO, A MARIÑA E MONFORTE",220,1,4
2020-03-26,"A.S. OURENSE, VERÍN E O BARCO",329,0,5
2020-03-26,A.S. PONTEVEDRA E O SALNÉS,267,7,6
2020-03-26,A.S. SANTIAGO E BARBANZA,433,0,4
2020-03-26,A.S. VIGO,539,5,4
2020-03-26,GALICIA,2491,26,48
2020-03-27,A.S. A CORUÑA E CEE,733,17,23
2020-03-27,A.S. FERROL,129,1,6
2020-03-27,"A.S. LUGO, A MARIÑA E MONFORTE",259,4,6
2020-03-27,"A.S. OURENSE, VERÍN E O BARCO",394,0,6
2020-03-27,A.S. PONTEVEDRA E O SALNÉS,309,8,6
2020-03-27,A.S. SANTIAGO E BARBANZA,505,2,5
2020-03-27,A.S. VIGO,627,8,7
2020-03-27,GALICIA,2956,40,59
2020-03-28,A.S. A CORUÑA E CEE,812,30,28
2020-03-28,A.S. FERROL,159,1,7
2020-03-28,"A.S. LUGO, A MARIÑA E MONFORTE",256,8,7
2020-03-28,"A.S. OURENSE, VERÍN E O BARCO",428,2,10
2020-03-28,A.S. PONTEVEDRA E O SALNÉS,333,10,6
2020-03-28,A.S. SANTIAGO E BARBANZA,539,7,8
2020-03-28,A.S. VIGO,713,15,12
2020-03-28,GALICIA,3240,73,78
2020-03-29,A.S. A CORUÑA E CEE,843,36,30
2020-03-29,A.S. FERROL,172,2,8
2020-03-29,"A.S. LUGO, A MARIÑA E MONFORTE",392,9,9
2020-03-29,"A.S. OURENSE, VERÍN E O BARCO",511,7,11
2020-03-29,A.S. PONTEVEDRA E O SALNÉS,366,13,6
2020-03-29,A.S. SANTIAGO E BARBANZA,577,13,11
2020-03-29,A.S. VIGO,853,24,14
2020-03-29,GALICIA,3714,104,89
2020-03-30,A.S. A CORUÑA E CEE,914,41,34
2020-03-30,A.S. FERROL,231,6,8
2020-03-30,"A.S. LUGO, A MARIÑA E MONFORTE",448,13,9
2020-03-30,"A.S. OURENSE, VERÍN E O BARCO",534,11,18
2020-03-30,A.S. PONTEVEDRA E O SALNÉS,371,16,8
2020-03-30,A.S. SANTIAGO E BARBANZA,600,18,15
2020-03-30,A.S. VIGO,896,31,24
2020-03-30,GALICIA,3994,136,116
2020-03-31,A.S. A CORUÑA E CEE,1001,54,40
2020-03-31,A.S. FERROL,250,9,8
2020-03-31,"A.S. LUGO, A MARIÑA E MONFORTE",485,21,9
2020-03-31,"A.S. OURENSE, VERÍN E O BARCO",632,12,22
2020-03-31,A.S. PONTEVEDRA E O SALNÉS,380,23,8
2020-03-31,A.S. SANTIAGO E BARBANZA,621,31,19
2020-03-31,A.S. VIGO,963,37,30
2020-03-31,GALICIA,4332,187,136
2020-04-01,A.S. A CORUÑA E CEE,1045,72,45
2020-04-01,A.S. FERROL,263,12,9
2020-04-01,"A.S. LUGO, A MARIÑA E MONFORTE",512,29,12
2020-04-01,"A.S. OURENSE, VERÍN E O BARCO",698,16,27
2020-04-01,A.S. PONTEVEDRA E O SALNÉS,403,32,8
2020-04-01,A.S. SANTIAGO E BARBANZA,662,35,20
2020-04-01,A.S. VIGO,986,53,38
2020-04-01,GALICIA,4569,249,159
2020-04-02,A.S. A CORUÑA E CEE,1070,89,49
2020-04-02,A.S. FERROL,279,17,9
2020-04-02,"A.S. LUGO, A MARIÑA E MONFORTE",533,34,14
2020-04-02,"A.S. OURENSE, VERÍN E O BARCO",874,22,31
2020-04-02,A.S. PONTEVEDRA E O SALNÉS,427,40,9
2020-04-02,A.S. SANTIAGO E BARBANZA,681,52,25
2020-04-02,A.S. VIGO,1006,69,46
2020-04-02,GALICIA,4870,323,183
2020-04-03,A.S. A CORUÑA E CEE,1102,109,56
2020-04-03,A.S. FERROL,305,21,10
2020-04-03,"A.S. LUGO, A MARIÑA E MONFORTE",557,34,14
2020-04-03,"A.S. OURENSE, VERÍN E O BARCO",943,26,41
2020-04-03,A.S. PONTEVEDRA E O SALNÉS,437,55,9
2020-04-03,A.S. SANTIAGO E BARBANZA,724,63,30
2020-04-03,A.S. VIGO,1016,88,50
2020-04-03,GALICIA,5084,396,210
2020-04-04,A.S. A CORUÑA E CEE,1104,143,60
2020-04-04,A.S. FERROL,317,21,12
2020-04-04,"A.S. LUGO, A MARIÑA E MONFORTE",562,35,14
2020-04-04,"A.S. OURENSE, VERÍN E O BARCO",994,37,45
2020-04-04,A.S. PONTEVEDRA E O SALNÉS,452,63,9
2020-04-04,A.S. SANTIAGO E BARBANZA,793,71,31
2020-04-04,A.S. VIGO,1020,104,56
2020-04-04,GALICIA,5242,474,227
2020-04-05,A.S. A CORUÑA E CEE,1140,154,65
2020-04-05,A.S. FERROL,317,22,14
2020-04-05,"A.S. LUGO, A MARIÑA E MONFORTE",574,35,17
2020-04-05,"A.S. OURENSE, VERÍN E O BARCO",1024,47,51
2020-04-05,A.S. PONTEVEDRA E O SALNÉS,454,75,9
2020-04-05,A.S. SANTIAGO E BARBANZA,796,104,36
2020-04-05,A.S. VIGO,1009,137,63
2020-04-05,GALICIA,5314,574,255
2020-04-06,A.S. A CORUÑA E CEE,1182,186,69
2020-04-06,A.S. FERROL,324,25,15
2020-04-06,"A.S. LUGO, A MARIÑA E MONFORTE",581,45,18
2020-04-06,"A.S. OURENSE, VERÍN E O BARCO",1025,60,53
2020-04-06,A.S. PONTEVEDRA E O SALNÉS,454,81,10
2020-04-06,A.S. SANTIAGO E BARBANZA,805,112,40
2020-04-06,A.S. VIGO,1016,159,66
2020-04-06,GALICIA,5387,668,271
2020-04-07,A.S. A CORUÑA E CEE,1177,218,75
2020-04-07,A.S. FERROL,330,28,16
2020-04-07,"A.S. LUGO, A MARIÑA E MONFORTE",563,75,19
2020-04-07,"A.S. OURENSE, VERÍN E O BARCO",1077,75,60
2020-04-07,A.S. PONTEVEDRA E O SALNÉS,450,90,10
2020-04-07,A.S. SANTIAGO E BARBANZA,820,154,44
2020-04-07,A.S. VIGO,1017,178,73
2020-04-07,GALICIA,5434,818,297
2020-04-08,A.S. A CORUÑA E CEE,1181,258,79
2020-04-08,A.S. FERROL,338,31,16
2020-04-08,"A.S. LUGO, A MARIÑA E MONFORTE",549,98,20
2020-04-08,"A.S. OURENSE, VERÍN E O BARCO",1095,94,61
2020-04-08,A.S. PONTEVEDRA E O SALNÉS,460,106,11
2020-04-08,A.S. SANTIAGO E BARBANZA,836,175,44
2020-04-08,A.S. VIGO,1022,210,78
2020-04-08,GALICIA,5481,972,309
2020-04-09,A.S. A CORUÑA E CEE,1146,316,86
2020-04-09,A.S. FERROL,336,36,16
2020-04-09,"A.S. LUGO, A MARIÑA E MONFORTE",543,116,21
2020-04-09,"A.S. OURENSE, VERÍN E O BARCO",1108,126,67
2020-04-09,A.S. PONTEVEDRA E O SALNÉS,466,118,11
2020-04-09,A.S. SANTIAGO E BARBANZA,844,188,47
2020-04-09,A.S. VIGO,1026,241,84
2020-04-09,GALICIA,5469,1141,332
2020-04-10,A.S. A CORUÑA E CEE,1127,379,91
2020-04-10,A.S. FERROL,334,44,17
2020-04-10,"A.S. LUGO, A MARIÑA E MONFORTE",543,146,21
2020-04-10,"A.S. OURENSE, VERÍN E O BARCO",1140,156,77
2020-04-10,A.S. PONTEVEDRA E O SALNÉS,461,135,11
2020-04-10,A.S. SANTIAGO E BARBANZA,790,246,55
2020-04-10,A.S. VIGO,999,291,91
2020-04-10,GALICIA,5394,1397,363
2020-04-11,A.S. A CORUÑA E CEE,1122,446,96
2020-04-11,A.S. FERROL,285,97,18
2020-04-11,"A.S. LUGO, A MARIÑA E MONFORTE",521,171,22
2020-04-11,"A.S. OURENSE, VERÍN E O BARCO",1130,197,79
2020-04-11,A.S. PONTEVEDRA E O SALNÉS,449,160,11
2020-04-11,A.S. SANTIAGO E BARBANZA,739,306,58
2020-04-11,A.S. VIGO,999,317,92
2020-04-11,GALICIA,5245,1694,376
2020-04-12,A.S. A CORUÑA E CEE,1089,511,97
2020-04-12,A.S. FERROL,271,122,21
2020-04-12,"A.S. LUGO, A MARIÑA E MONFORTE",522,172,23
2020-04-12,"A.S. OURENSE, VERÍN E O BARCO",1164,203,81
2020-04-12,A.S. PONTEVEDRA E O SALNÉS,438,182,12
2020-04-12,A.S. SANTIAGO E BARBANZA,713,340,60
2020-04-12,A.S. VIGO,969,358,96
2020-04-12,GALICIA,5166,1888,390
2020-04-13,A.S. A CORUÑA E CEE,1079,541,99
2020-04-13,A.S. FERROL,250,146,21
2020-04-13,"A.S. LUGO, A MARIÑA E MONFORTE",430,267,23
2020-04-13,"A.S. OURENSE, VERÍN E O BARCO",1127,249,83
2020-04-13,A.S. PONTEVEDRA E O SALNÉS,419,207,12
2020-04-13,A.S. SANTIAGO E BARBANZA,688,381,64
2020-04-13,A.S. VIGO,956,392,100
2020-04-13,GALICIA,4949,2183,402
2020-04-14,A.S. A CORUÑA E CEE,1028,617,106
2020-04-14,A.S. FERROL,217,181,22
2020-04-14,"A.S. LUGO, A MARIÑA E MONFORTE",398,304,24
2020-04-14,"A.S. OURENSE, VERÍN E O BARCO",1122,267,85
2020-04-14,A.S. PONTEVEDRA E O SALNÉS,410,221,12
2020-04-14,A.S. SANTIAGO E BARBANZA,666,430,65
2020-04-14,A.S. VIGO,927,427,104
2020-04-14,GALICIA,4768,2447,418
2020-04-15,A.S. A CORUÑA E CEE,1034,688,113
2020-04-15,A.S. FERROL,194,213,22
2020-04-15,"A.S. LUGO, A MARIÑA E MONFORTE",367,340,25
2020-04-15,"A.S. OURENSE, VERÍN E O BARCO",1065,344,87
2020-04-15,A.S. PONTEVEDRA E O SALNÉS,411,232,12
2020-04-15,A.S. SANTIAGO E BARBANZA,655,459,66
2020-04-15,A.S. VIGO,906,471,105
2020-04-15,GALICIA,4632,2747,430
2020-04-16,A.S. A CORUÑA E CEE,1016,750,117
2020-04-16,A.S. FERROL,188,224,23
2020-04-16,"A.S. LUGO, A MARIÑA E MONFORTE",333,375,26
2020-04-16,"A.S. OURENSE, VERÍN E O BARCO",1022,415,87
2020-04-16,A.S. PONTEVEDRA E O SALNÉS,393,255,12
2020-04-16,A.S. SANTIAGO E BARBANZA,623,513,68
2020-04-16,A.S. VIGO,888,509,108
2020-04-16,GALICIA,4463,3041,441
2020-04-17,A.S. A CORUÑA E CEE,977,804,120
2020-04-17,A.S. FERROL,169,245,23
2020-04-17,"A.S. LUGO, A MARIÑA E MONFORTE",310,403,26
2020-04-17,"A.S. OURENSE, VERÍN E O BARCO",964,491,90
2020-04-17,A.S. PONTEVEDRA E O SALNÉS,369,284,13
2020-04-17,A.S. SANTIAGO E BARBANZA,600,543,72
2020-04-17,A.S. VIGO,866,546,109
2020-04-17,GALICIA,4255,3316,453
2020-04-18,A.S. A CORUÑA E CEE,956,848,125
2020-04-18,A.S. FERROL,146,268,24
2020-04-18,"A.S. LUGO, A MARIÑA E MONFORTE",291,423,26
2020-04-18,"A.S. OURENSE, VERÍN E O BARCO",946,578,96
2020-04-18,A.S. PONTEVEDRA E O SALNÉS,349,305,14
2020-04-18,A.S. SANTIAGO E BARBANZA,571,578,75
2020-04-18,A.S. VIGO,885,567,112
2020-04-18,GALICIA,4144,3567,472
2020-04-19,A.S. A CORUÑA E CEE,946,875,128
2020-04-19,A.S. FERROL,149,274,24
2020-04-19,"A.S. LUGO, A MARIÑA E MONFORTE",296,432,26
2020-04-19,"A.S. OURENSE, VERÍN E O BARCO",939,601,96
2020-04-19,A.S. PONTEVEDRA E O SALNÉS,331,328,14
2020-04-19,A.S. SANTIAGO E BARBANZA,555,618,76
2020-04-19,A.S. VIGO,897,587,114
2020-04-19,GALICIA,4113,3715,478
2020-04-20,A.S. A CORUÑA E CEE,952,901,132
2020-04-20,A.S. FERROL,155,278,25
2020-04-20,"A.S. LUGO, A MARIÑA E MONFORTE",275,456,28
2020-04-20,"A.S. OURENSE, VERÍN E O BARCO",899,649,98
2020-04-20,A.S. PONTEVEDRA E O SALNÉS,307,356,14
2020-04-20,A.S. SANTIAGO E BARBANZA,536,650,77
2020-04-20,A.S. VIGO,910,613,114
2020-04-20,GALICIA,4034,3903,488
2020-04-21,A.S. A CORUÑA E CEE,988,959,135
2020-04-21,A.S. FERROL,149,296,25
2020-04-21,"A.S. LUGO, A MARIÑA E MONFORTE",253,490,28
2020-04-21,"A.S. OURENSE, VERÍN E O BARCO",867,698,99
2020-04-21,A.S. PONTEVEDRA E O SALNÉS,308,369,15
2020-04-21,A.S. SANTIAGO E BARBANZA,508,694,83
2020-04-21,A.S. VIGO,905,646,117
2020-04-21,GALICIA,3978,4152,502
2020-04-22,A.S. A CORUÑA E CEE,989,1003,137
2020-04-22,A.S. FERROL,154,307,25
2020-04-22,"A.S. LUGO, A MARIÑA E MONFORTE",240,520,28
2020-04-22,"A.S. OURENSE, VERÍN E O BARCO",828,755,101
2020-04-22,A.S. PONTEVEDRA E O SALNÉS,305,392,15
2020-04-22,A.S. SANTIAGO E BARBANZA,479,747,85
2020-04-22,A.S. VIGO,915,679,119
2020-04-22,GALICIA,3910,4403,510
2020-04-23,A.S. A CORUÑA E CEE,931,1110,137
2020-04-23,A.S. FERROL,142,327,26
2020-04-23,"A.S. LUGO, A MARIÑA E MONFORTE",242,543,28
2020-04-23,"A.S. OURENSE, VERÍN E O BARCO",799,796,104
2020-04-23,A.S. PONTEVEDRA E O SALNÉS,283,428,15
2020-04-23,A.S. SANTIAGO E BARBANZA,452,811,86
2020-04-23,A.S. VIGO,896,726,120
2020-04-23,GALICIA,3745,4741,516
2020-04-24,A.S. A CORUÑA E CEE,909,1182,143
2020-04-24,A.S. FERROL,152,332,26
2020-04-24,"A.S. LUGO, A MARIÑA E MONFORTE",236,562,28
2020-04-24,"A.S. OURENSE, VERÍN E O BARCO",740,872,107
2020-04-24,A.S. PONTEVEDRA E O SALNÉS,262,464,15
2020-04-24,A.S. SANTIAGO E BARBANZA,452,841,88
2020-04-24,A.S. VIGO,913,776,122
2020-04-24,GALICIA,3664,5029,529
2020-04-25,A.S. A CORUÑA E CEE,879,1242,146
2020-04-25,A.S. FERROL,147,338,26
2020-04-25,"A.S. LUGO, A MARIÑA E MONFORTE",221,586,28
2020-04-25,"A.S. OURENSE, VERÍN E O BARCO",706,918,109
2020-04-25,A.S. PONTEVEDRA E O SALNÉS,248,480,15
2020-04-25,A.S. SANTIAGO E BARBANZA,448,859,89
2020-04-25,A.S. VIGO,887,806,124
2020-04-25,GALICIA,3536,5229,537
2020-04-26,A.S. A CORUÑA E CEE,826,1309,147
2020-04-26,A.S. FERROL,147,339,27
2020-04-26,"A.S. LUGO, A MARIÑA E MONFORTE",213,594,28
2020-04-26,"A.S. OURENSE, VERÍN E O BARCO",685,947,110
2020-04-26,A.S. PONTEVEDRA E O SALNÉS,230,499,15
2020-04-26,A.S. SANTIAGO E BARBANZA,453,865,92
2020-04-26,A.S. VIGO,855,853,124
2020-04-26,GALICIA,3409,5406,543
2020-04-27,A.S. A CORUÑA E CEE,799,1341,149
2020-04-27,A.S. FERROL,132,363,27
2020-04-27,"A.S. LUGO, A MARIÑA E MONFORTE",208,605,28
2020-04-27,"A.S. OURENSE, VERÍN E O BARCO",657,991,113
2020-04-27,A.S. PONTEVEDRA E O SALNÉS,210,530,15
2020-04-27,A.S. SANTIAGO E BARBANZA,454,888,96
2020-04-27,A.S. VIGO,835,905,124
2020-04-27,GALICIA,3295,5623,552
2020-04-28,A.S. A CORUÑA E CEE,778,1384,149
2020-04-28,A.S. FERROL,128,377,27
2020-04-28,"A.S. LUGO, A MARIÑA E MONFORTE",204,617,28
2020-04-28,"A.S. OURENSE, VERÍN E O BARCO",649,1016,113
2020-04-28,A.S. PONTEVEDRA E O SALNÉS,184,563,15
2020-04-28,A.S. SANTIAGO E BARBANZA,438,920,97
2020-04-28,A.S. VIGO,852,924,125
2020-04-28,GALICIA,3233,5801,554
2020-04-29,A.S. A CORUÑA E CEE,677,1514,150
2020-04-29,A.S. FERROL,123,389,27
